team_id,team_name,short_name,country,wc_group,venue_id,squad_size,avg_age,total_market_value_eur,avg_market_value_eur,avg_overall_rating,avg_club_match_rating,avg_attr_defending,elite_defender_count,squad_club_goals,squad_club_assists,squad_club_xg,squad_club_xa,squad_club_tackles,squad_club_interceptions,squad_club_clearances,squad_club_saves,squad_intl_caps,squad_intl_goals,upcoming_fixtures,manager_name,manager_formation,manager_tactical_profile,manager_win_pct,manager_avg_goals_scored,manager_avg_goals_conceded,manager_clean_sheet_pct,manager_avg_possession,exported_at
490,Algeria,Algeria,Algeria,J,446,26,26.5,257965000,9921730,76.62,6.96,,0,79,57,68.31,56.59,667,399,785,121,308,26,0,Vladimir Petković,4-3-3,attacking,60.0,2.05,0.75,40.0,52.14,2026-06-07T16:02:52Z
489,Argentina,Argentina,Argentina,J,445,55,26.9,1213719998,22067636,76.67,7.02,69.3,4,253,167,241.47,152.07,2048,904,2192,351,343,39,1,Lionel Scaloni,4-3-3,attacking,69.2,1.77,0.46,65.4,70.0,2026-06-07T16:02:52Z
459,Australia,Australia,Australia,D,,26,26.9,69440000,2670769,72.0,6.89,,0,32,43,41.76,21.28,569,285,992,125,255,17,1,Tony Popovic,3-4-2-1,attacking,63.6,2.14,0.45,59.1,41.0,2026-06-07T16:02:52Z
483,Austria,Austria,Austria,J,440,26,28.1,267575000,10291346,77.8,6.94,72.4,3,57,58,68.11,51.37,912,471,1368,72,392,47,0,Ralf Rangnick,4-2-3-1,attacking,60.9,2.22,0.83,34.8,58.0,2026-06-07T16:02:52Z
477,Belgium,Belgium,Belgium,G,435,26,27.1,532800000,20492307,74.2,7.01,68.0,0,86,100,83.2,88.67,1115,560,1495,325,367,52,0,Rudi Garcia,4-2-3-1,attacking,40.9,2.14,1.09,31.8,50.0,2026-06-07T16:02:52Z
931,Bosnia & Herzegovina,BiH,Bosnia & Herzegovina,B,710,27,26.1,138069998,5310384,72.8,6.8,,0,60,30,55.07,18.41,407,200,707,133,326,21,1,Sergej Barbarez,4-4-2,balanced,29.4,1.35,1.53,29.4,57.33,2026-06-07T16:02:52Z
463,Brazil,Brazil,Brazil,C,,29,29.1,923550000,31846551,82.0,7.1,,0,170,70,147.89,70.76,912,470,1677,218,359,33,1,Carlo Ancelotti,4-2-3-1,balanced,44.0,1.56,0.96,32.0,48.33,2026-06-07T16:02:52Z
476,Cabo Verde,Cabo Verde,Cape Verde,H,434,26,29.2,55604999,2138653,71.38,6.9,,0,19,17,20.76,21.14,280,159,308,136,301,22,0,Bubista,4-2-3-1,balanced,68.8,1.69,0.69,68.8,,2026-06-07T16:02:52Z
455,Canada,Canada,Canada,B,,32,25.8,218795000,6837343,73.47,6.78,62.5,0,88,41,82.32,37.17,677,334,786,103,388,24,1,Jesse Marsch,4-4-2,balanced,41.2,1.35,0.82,47.1,57.33,2026-06-07T16:02:52Z
498,Colombia,Colombia,Colombia,K,,55,28.3,454764999,8268454,75.51,6.89,65.8,3,169,96,178.79,84.84,1340,644,1866,210,588,42,1,Nestor Lorenzo,4-2-3-1,balanced,42.3,1.62,0.96,42.3,51.5,2026-06-07T16:02:52Z
494,Croatia,Croatia,Croatia,L,,25,27.6,379499999,15179999,78.88,7.0,69.1,3,143,66,118.74,61.09,719,470,1461,195,390,27,1,Zlatko Dalić,4-2-3-1,attacking,52.4,2.0,1.14,33.3,48.5,2026-06-07T16:02:52Z
468,Curaçao,Curaçao,Curacao,E,431,26,27.5,25621000,985423,68.67,6.7,63.2,0,16,20,23.19,16.89,369,216,566,25,355,27,0,Dick Advocaat,4-2-3-1,attacking,55.0,2.3,0.75,55.0,36.5,2026-06-07T16:02:52Z
930,Czechia,Czechia,Czechia,A,,30,27.0,186634999,6221166,73.3,6.81,,0,55,33,59.31,29.59,399,234,909,256,326,28,1,Miroslav Koubek,4-2-3-1,attacking,45.0,1.75,1.25,35.0,40.5,2026-06-07T16:02:52Z
471,Côte d'Ivoire,Côte d'Ivoire,Côte d'Ivoire,E,,27,25.3,527965000,19554259,78.11,6.92,72.0,0,88,72,76.62,58.93,710,427,1045,206,406,35,0,Emerse Faé,4-3-3,attacking,66.7,1.96,0.58,66.7,57.57,2026-06-07T16:02:52Z
648,DR Congo,DR Congo,DR Congo,K,501,26,28.5,145510000,5596538,74.17,6.82,,0,33,22,40.43,16.63,465,264,790,117,436,27,1,Sebastien Desabre,4-2-3-1,defensive,50.0,1.25,0.54,54.2,43.5,2026-06-07T16:02:52Z
472,Ecuador,Ecuador,Ecuador,E,432,26,25.6,363615000,13985192,73.48,6.89,66.0,3,55,23,50.07,28.81,747,431,1076,99,400,21,1,Sebastian Beccacece,4-2-3-1,defensive,40.0,0.92,0.48,56.0,53.67,2026-06-07T16:02:52Z
478,Egypt,Egypt,Egypt,G,436,29,28.4,141074998,4864655,77.29,6.96,,0,33,26,33.69,17.93,203,83,135,27,367,37,0,Hossam Hassan,4-3-3,balanced,54.2,1.62,0.58,58.3,47.5,2026-06-07T16:02:52Z
493,England,England,England,L,447,26,26.6,1321100000,50811538,83.76,7.04,,0,227,105,200.93,84.8,1038,529,1537,248,356,35,1,Thomas Tuchel,4-2-3-1,attacking,65.2,2.0,0.48,60.9,62.0,2026-06-07T16:02:52Z
485,France,France,France,I,442,26,26.6,1526600000,58715384,83.76,7.07,,0,186,130,173.09,109.38,1168,615,1540,291,411,29,1,Didier Deschamps,4-2-3-1,attacking,62.5,1.88,0.92,45.8,54.5,2026-06-07T16:02:52Z
467,Germany,Germany,Germany,E,,27,27.2,1025299999,37974074,82.65,7.03,,0,150,127,147.84,121.4,1120,579,1584,323,392,49,0,Julian Nagelsmann,4-2-3-1,attacking,66.7,2.54,0.92,41.7,62.67,2026-06-07T16:02:52Z
495,Ghana,Ghana,Ghana,L,448,29,26.3,237026000,8173310,74.1,6.76,67.0,3,58,45,57.67,32.76,674,391,1105,118,228,25,0,Carlos Queiroz,4-2-3-1,attacking,50.0,1.88,1.31,37.5,37.33,2026-06-07T16:02:52Z
465,Haiti,Haiti,Haiti,C,,26,27.1,57538000,2301520,70.12,6.71,,0,23,12,27.71,13.24,309,191,402,0,354,34,1,Sébastien Migné,4-4-2,attacking,57.1,2.48,1.14,38.1,51.33,2026-06-07T16:02:52Z
481,Iran,Iran,Iran,G,439,35,28.7,37100000,1060000,72.17,6.71,,0,19,6,20.44,7.49,55,18,75,0,467,24,0,Amir Ghalenoei,4-2-3-1,attacking,68.0,2.24,0.88,44.0,50.0,2026-06-07T16:02:52Z
933,Iraq,Iraq,Iraq,I,,34,26.0,22451000,724225,70.0,6.72,44.0,0,12,10,9.37,9.68,171,89,156,0,425,23,1,Graham Arnold,4-2-3-1,balanced,64.0,1.64,0.8,52.0,,2026-06-07T16:02:52Z
470,Japan,Japan,Japan,F,,26,27.2,273516999,10519884,77.44,6.83,68.8,2,89,53,95.54,46.63,692,406,1094,142,347,45,0,Hajime Moriyasu,3-4-2-1,attacking,78.3,2.87,0.48,65.2,46.67,2026-06-07T16:02:52Z
484,Jordan,Jordan,Jordan,J,441,30,27.4,20898000,696600,71.0,6.36,62.3,0,14,12,10.25,5.66,60,32,36,0,420,20,1,Jamal Sellami,3-4-3,attacking,46.2,1.92,1.08,34.6,30.0,2026-06-07T16:02:52Z
451,Mexico,Mexico,Mexico,A,,55,26.0,342549999,6228181,74.93,6.93,61.8,1,208,115,191.75,109.5,1570,782,1990,460,447,27,1,Javier Aguirre,4-3-3,defensive,70.0,1.45,0.4,70.0,54.43,2026-06-07T16:02:52Z
464,Morocco,Morocco,Morocco,C,430,26,26.0,492840000,18955384,75.21,6.86,66.4,1,95,63,81.06,50.91,771,395,851,101,293,32,2,Mohamed Ouahbi,4-1-4-1,attacking,72.7,2.0,0.36,68.2,58.12,2026-06-07T16:02:52Z
469,Netherlands,Netherlands,Netherlands,F,,26,27.2,847800000,32607692,81.31,6.9,63.5,0,116,73,113.23,58.79,886,470,1485,337,398,48,1,Ronald Koeman,4-2-3-1,attacking,50.0,2.38,1.0,33.3,38.5,2026-06-07T16:02:52Z
482,New Zealand,New Zealand,New Zealand,G,,26,27.6,34435000,1324423,70.73,6.73,,0,21,14,21.97,11.49,315,242,995,137,139,0,0,Darren Bazeley,4-3-3,attacking,100.0,5.8,0.2,80.0,,2026-06-07T16:02:52Z
488,Norway,Norway,Norway,I,444,29,26.7,862760000,29750344,79.19,6.99,63.2,1,152,94,143.42,72.89,824,359,1274,154,353,74,1,Ståle Solbakken,4-4-2,attacking,76.5,3.29,0.88,47.1,49.67,2026-06-07T16:02:52Z
496,Panama,Panama,Panama,L,,26,30.0,34018000,1308384,72.36,6.75,,0,27,29,25.39,19.67,323,176,465,115,502,32,0,Thomas Christiansen,5-4-1,attacking,55.6,1.74,1.22,33.3,44.8,2026-06-07T16:02:52Z
458,Paraguay,Paraguay,Paraguay,D,429,55,27.8,204114998,3779907,73.97,6.94,63.3,1,108,57,103.93,52.64,895,484,1320,64,491,18,1,Gustavo Alfaro,4-2-3-1,defensive,34.8,0.83,0.87,47.8,40.0,2026-06-07T16:02:52Z
491,Portugal,Portugal,Portugal,K,,26,27.5,982400000,37784615,82.64,7.1,61.0,0,164,132,148.55,87.41,995,528,1422,262,463,47,1,Roberto Martínez,4-2-3-1,attacking,56.5,2.04,0.91,34.8,64.5,2026-06-07T16:02:52Z
461,Qatar,Qatar,Qatar,B,,36,28.5,21812000,641529,67.5,6.71,,0,0,0,0.74,0,10,8,16,0,445,40,1,Julen Lopetegui,4-3-3,attacking,61.5,1.96,1.31,30.8,47.0,2026-06-07T16:02:52Z
479,Saudi Arabia,Saudi Arabia,Saudi Arabia,H,437,30,27.9,32804000,1171571,71.33,6.93,65.0,1,65,69,52.9,29.2,823,436,627,32,341,20,1,Georgios Donis,3-5-2,balanced,37.9,1.07,0.93,44.8,53.0,2026-06-07T16:02:52Z
466,Scotland,Scotland,Scotland,C,,27,28.5,200596999,7715269,76.91,6.82,,0,91,40,82.51,32.82,608,319,1569,7,360,29,1,Steve Clarke,4-2-3-1,balanced,40.0,1.35,1.4,25.0,47.25,2026-06-07T16:02:52Z
486,Senegal,Senegal,Senegal,I,443,28,26.5,474439999,16944285,77.21,6.9,59.4,1,89,50,95.27,42.21,849,491,1325,251,432,41,1,Pape Thiaw,4-3-3,attacking,70.8,2.08,0.46,66.7,61.62,2026-06-07T16:02:52Z
452,South Africa,South Africa,South Africa,A,,33,27.0,49435000,1704655,70.24,6.8,66.9,1,15,8,11.49,6.54,241,126,490,16,358,26,1,Hugo Broos,4-2-3-1,balanced,37.5,1.25,0.88,41.7,65.43,2026-06-07T16:02:52Z
453,South Korea,South Korea,South Korea,A,428,27,27.5,147095000,5447962,75.67,6.93,,0,63,44,64.07,41.05,525,329,728,72,367,38,1,Myung Bo Hong,4-2-3-1,attacking,52.0,2.2,0.92,40.0,55.67,2026-06-07T16:02:52Z
475,Spain,Spain,Spain,H,,26,26.2,1286300000,49473076,83.7,7.02,76.0,1,149,103,141.93,102.37,1197,572,1599,323,396,56,1,Luis De La Fuente,4-3-3,attacking,72.0,2.48,0.8,52.0,66.0,2026-06-07T16:02:52Z
731,Sweden,Sweden,Sweden,F,,27,27.0,428489999,15869999,76.12,6.87,56.5,0,90,48,85.75,33.76,738,385,1465,275,267,27,0,Graham Potter,3-5-2,attacking,46.7,2.0,1.47,20.0,43.25,2026-06-07T16:02:52Z
462,Switzerland,Switzerland,Switzerland,B,,26,27.8,334929999,12881923,77.77,6.87,,0,76,59,71.33,44.34,931,548,1490,356,362,31,1,Murat Yakin,3-4-3,attacking,35.0,1.75,1.25,30.0,56.25,2026-06-07T16:02:52Z
474,Tunisia,Tunisia,Tunisia,F,433,26,26.1,68869999,2648846,73.46,6.78,,0,43,35,27.87,18.45,457,276,794,0,281,17,0,Sabri Lamouchi,4-3-3,balanced,55.0,1.55,0.45,65.0,49.57,2026-06-07T16:02:52Z
932,Türkiye,Türkiye,Türkiye,D,,35,26.7,527345000,15067000,77.61,6.97,54.7,0,111,104,104.94,98.51,1096,489,1383,306,476,45,1,Vincenzo Montella,4-2-3-1,attacking,68.2,2.09,1.23,36.4,61.33,2026-06-07T16:02:52Z
480,Uruguay,Uruguay,Uruguay,H,438,27,28.3,399939997,14812592,78.5,6.93,72.9,5,109,77,106.42,58.48,1015,463,1100,130,445,31,0,Marcelo Bielsa,4-2-3-1,defensive,38.5,1.31,0.65,53.8,52.5,2026-06-07T16:02:52Z
457,USA,USA,USA,D,,28,26.9,418490000,14946071,76.95,7.0,66.0,0,146,82,136.21,85.19,1164,590,1790,395,293,23,1,Mauricio Pochettino,4-2-3-1,balanced,50.0,1.69,1.44,25.0,45.0,2026-06-07T16:02:52Z
497,Uzbekistan,Uzbekistan,Uzbekistan,K,,39,26.5,72240000,2330322,71.77,6.52,61.7,1,23,8,19.71,7.54,110,66,130,0,383,16,1,Fabio Cannavaro,3-4-2-1,balanced,54.5,1.64,0.73,54.5,,2026-06-07T16:02:52Z
