id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
13062,Mohammed Amoura,30,1949,8,9.956500393338501,3,3.972602378576994,60,24,2,0,F M S,Wolfsburg,7,9.198723715730011,14.962777476757765,4.446937231346965
12953,Igor Matanovic,31,1536,11,9.582080019637942,2,2.2362477499991655,51,22,0,0,F S,Freiburg,10,8.066526612266898,9.787673662416637,1.3800859227776527
10113,Fisnik Asllani,33,2429,10,9.504826286807656,7,5.401737725362182,73,34,2,0,F M S,Hoffenheim,10,9.504826286807656,19.754683665931225,6.661823563277721
8407,Tim Lemperle,29,2008,8,9.412074415013194,2,2.5754604805260897,53,26,1,1,F M S,Hoffenheim,7,8.654297707602382,13.365150267258286,2.924194620922208
6496,Ermedin Demirovic,25,1507,12,8.664393775165081,3,2.179655436426401,41,17,5,0,F S,VfB Stuttgart,11,7.906617097556591,13.179813992232084,4.325801435858011
10048,Nicolas Jackson,23,991,8,8.492001624777913,1,2.0896335784345865,38,17,2,1,F M S,Bayern Munich,8,8.492001624777913,13.03456012159586,3.1939167426899076
11227,Dzenan Pejcinovic,30,1445,8,8.291429496370256,0,1.645487703382969,51,12,1,0,F S,Wolfsburg,8,8.291429496370256,9.861923123709857,1.750562708824873
8137,Maximilian Beier,32,2069,9,8.248568028211594,6,4.9559360314160585,50,25,3,0,D F M S,Borussia Dortmund,9,8.248568028211594,16.043212147429585,5.098700201138854
13925,Ransford Königsdörffer,33,2425,5,8.097989899106324,0,1.2930769845843315,65,20,2,0,F M S,Hamburger SV,5,7.340213228948414,10.459908859804273,2.8092102147638798
13856,Christian Kofane,29,1231,5,8.046371582895517,4,2.242532966658473,46,17,3,0,F M S,Bayer Leverkusen,5,8.046371582895517,11.18430045247078,1.869088165462017
13561,Yan Diomande,33,2507,12,8.03020796738565,8,10.04887573234737,53,57,2,0,F M S,RasenBallsport Leipzig,12,8.03020796738565,29.469644859433174,14.411308905109763
10732,Jakub Kaminski,34,3031,7,7.96647222340107,3,5.589305056259036,62,50,4,0,D F M,FC Cologne,7,7.96647222340107,18.4370434358716,9.42793507874012
9069,Romano Schmid,34,3004,4,7.935770924203098,8,10.276878538541496,57,87,4,0,F M,Werder Bremen,1,4.904664213769138,17.899825293570757,6.946343030780554
13573,Lennart Karl,26,1268,5,7.12136466614902,5,2.79079039208591,42,23,1,0,M S,Bayern Munich,5,7.12136466614902,17.725263914093375,9.104842718690634
10585,Justin Njinmah,33,1963,5,6.778727872297168,0,1.2397968284785748,62,17,2,0,D F M S,Werder Bremen,5,6.778727872297168,11.163103096187115,3.214089992456138
11866,Álex Grimaldo,29,2539,8,6.761390760540962,7,10.24105754122138,61,69,5,0,D,Bayer Leverkusen,5,4.488060817122459,19.19080664217472,13.631710644811392
10288,Anton Kade,28,1740,6,6.7122930232435465,0,3.0941985473036766,48,25,3,0,D F M S,Augsburg,6,6.7122930232435465,10.916635751724243,1.8429135736078024
