id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
13769,Carlos Espí,25,1328,11,9.884630508720875,0,0.6899255998432636,57,9,3,0,F S,Levante,11,9.884630508720875,9.323621347546577,0.3610123936086893
13705,Federico Viñas,34,2575,9,9.87893870100379,1,3.0277516916394234,60,29,5,3,F M S,Real Oviedo,7,8.392383448779583,8.796410974115133,2.640840981155634
5656,Nicolas Pepe,37,2497,9,9.80356877669692,8,8.080096108838916,65,55,4,0,F M S,Villarreal,7,8.317013502120972,21.613017408177257,7.798260133713484
9275,Iván Romero,32,2339,7,9.594019802287221,1,2.88573707267642,59,25,5,0,F M S,Levante,7,8.850742192938924,14.721420374698937,4.722817124798894
14041,Vladyslav Vanat,27,2003,9,9.496832385659218,1,2.1041252370923758,27,12,4,0,F,Girona,6,7.2669995576143265,8.851113688200712,1.6265962794423103
13350,Roberto Fernández,38,2388,7,9.296747288666666,3,3.1568277506157756,59,18,3,0,F S,Espanyol,6,8.553469679318368,12.14238354191184,2.0526475217193365
11094,Antony,32,2495,8,9.02497192658484,6,6.643909856677055,90,56,6,1,F M S,Real Betis,8,9.02497192658484,22.010275080800056,10.2550476831384
10846,Julián Álvarez,29,1926,8,8.894600672647357,4,6.265264900401235,54,47,2,0,F S,Atletico Madrid,6,6.664767829701304,17.452052727341652,7.806348083540797
8292,Dani Olmo,33,2109,7,8.75443153269589,8,6.657491793856025,70,50,1,0,F M S,Barcelona,7,8.75443153269589,22.55907628685236,10.709148935973644
556,Marcus Rashford,32,1739,8,8.697766778059304,7,4.963629940524697,76,46,3,0,F M S,Barcelona,8,8.697766778059304,17.325936785899103,7.726865269243717
2399,Iñaki Williams,30,2188,3,8.660440864041448,6,4.2092270366847515,57,25,2,0,F M S,Athletic Club,2,7.9171632546931505,12.954110903665423,3.7314452417194843
2270,Antoine Griezmann,34,1428,7,8.293904645368457,4,4.9885023310780525,47,32,0,0,F S,Atletico Madrid,7,8.293904645368457,17.252844139933586,7.144089825451374
2589,Rafa Mir,27,1834,8,8.264916526153684,0,1.7095182929188013,69,9,4,0,F M S,Elche,7,6.778489189222455,11.559987911954522,4.549745937809348
3264,Mauro Arambarri,37,3279,6,8.078672235831618,2,0.9766136407852173,57,22,6,0,M,Getafe,4,5.8488394152373075,5.961405856534839,2.0200484236702323
8824,Jude Bellingham,28,1933,6,7.732056498527527,4,3.037935324013233,51,36,3,0,M S,Real Madrid,6,7.732056498527527,13.966085232794285,8.35675865970552
4175,Pere Milla,33,2005,7,7.654542326927185,1,4.100008985027671,59,34,6,1,F M S,Espanyol,7,7.654542326927185,11.191884029656649,3.3394176652655005
11822,Fermín López,30,1780,6,7.5230784229934216,9,7.6479049026966095,68,34,3,0,F M S,Barcelona,6,7.5230784229934216,24.60513487458229,12.423649363219738
13048,Orri Óskarsson,20,822,9,7.336163688451052,0,0.4746837932616472,27,4,5,0,F S,Real Sociedad,9,7.336163688451052,7.516883730888367,0.4190300051122904
11322,Viktor Tsygankov,32,2672,6,7.313595972955227,5,4.26087084133178,50,55,3,0,F M S,Girona,6,7.313595972955227,15.098643213510513,5.471966687589884
13701,Ilyas Chaira,37,2584,7,7.220865061506629,2,2.07834442704916,84,22,2,1,F M S,Real Oviedo,7,7.220865061506629,11.205173783004284,3.461104169487953
13279,Víctor Muñoz,34,2705,6,7.1146949995309114,2,2.412180700339377,81,27,3,0,F M S,Osasuna,6,7.1146949995309114,11.554271526634693,3.834848198108375
7779,Oihan Sancet,28,1832,4,7.056168496608734,0,1.445348110049963,48,27,4,1,M S,Athletic Club,2,5.569741144776344,7.564459195360541,2.206977505236864
2120,Gerard Moreno,22,1368,10,7.015236139297485,0,3.00478845089674,39,23,0,0,F S,Villarreal,7,4.78540326654911,9.858238596469164,4.95141988992691
8042,Raul García,36,926,7,6.938203576952219,1,1.1225733663886786,39,12,2,1,F S,Osasuna,7,6.938203576952219,7.228577986359596,1.1627431195229292
7071,Álvaro García,32,2123,4,6.8708263747394085,5,7.334621558897197,47,40,3,0,F M S,Rayo Vallecano,4,6.8708263747394085,14.599677024409175,2.0335369165986776
8549,Ferrán Jutglà,30,1702,9,6.59795877058059,3,1.5541915334761143,45,15,4,0,F M S,Celta Vigo,9,6.59795877058059,8.991645194590092,2.8614895455539227
10975,Largie Ramazani,27,1200,6,6.468218728899956,1,2.4562970297411084,51,17,4,0,F M S,Valencia,3,4.23838584497571,9.884040178731084,3.9631658289581537
9796,Giuliano Simeone,31,2153,4,6.101236687973142,6,5.526886135339737,36,29,2,0,D F M S,Atletico Madrid,4,6.101236687973142,18.556789096444845,9.045107055455446
6227,Brais Méndez,29,1708,6,6.033863070420921,2,3.3276691418141127,36,26,4,1,F M S,Real Sociedad,5,4.547307777218521,12.244448814541101,5.582106248475611
9211,Nico Williams,25,1715,6,5.862554809078574,3,4.138543902896345,46,34,2,0,M S,Athletic Club,5,4.375999530777335,10.798387989401817,3.284014131873846
770,Ayoze Pérez,26,1154,5,5.862349048256874,4,2.57591051235795,25,17,4,0,F S,Villarreal,4,5.119071401655674,8.997008547186852,1.811542371287942
