id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
6905,Ludovic Ajorque,32,2834,8,9.856391444802284,9,3.8175468407571316,55,41,9,1,F,Brest,8,9.856391444802284,16.418825870379806,5.105777461081743
9345,Ahmadou Bamba Dieng,22,1239,10,9.474379494786263,1,1.150337222032249,45,11,2,0,F S,Lorient,9,7.954189226031303,7.221809398382902,1.4927732981741428
11767,Gonçalo Ramos,30,1293,6,9.366714945062995,1,1.5339764999225736,58,17,2,1,F S,Paris Saint Germain,5,7.846524586901069,7.911083575338125,3.1021426245570183
5356,Breel Embolo,31,1870,9,9.035452591255307,3,1.4657922452315688,41,15,2,0,F S,Rennes,9,9.035452591255307,11.81740845553577,3.815189575776458
502,Olivier Giroud,30,1610,7,8.869264025241137,1,1.8515658974647522,41,18,2,0,F S,Lille,4,5.828883409500122,9.002260066568851,2.159651977941394
11164,Martial Godo,28,1602,10,8.613017499446869,1,2.2593456469476223,41,22,2,0,M S,Strasbourg,10,8.613017499446869,15.288090150803328,5.07086955755949
9490,Matthis Abline,32,2501,6,8.401815695688128,4,4.085846895352006,85,30,6,0,F M S,Nantes,6,7.641720516607165,12.229162354022264,3.8011139631271362
3721,Romain Del Castillo,32,2686,9,8.386032570153475,3,6.569920150563121,34,55,2,1,F M,Brest,3,2.3052715435624123,12.779396329075098,6.169922332279384
13735,Pavel Sulc,27,1562,10,8.200931411236525,3,3.4493092335760593,44,22,3,0,F M S,Lyon,10,8.200931411236525,14.770196340978146,5.432968702167273
11757,Hákon Haraldsson,32,2517,8,8.196693381294608,2,4.53067035600543,50,53,6,0,F M S,Lille,8,8.196693381294608,18.886699605733156,9.129945868626237
10431,Désiré Doué,23,1372,7,8.188008099794388,4,3.8526204489171505,55,29,0,0,F M S,Paris Saint Germain,7,7.427912965416908,15.078180879354477,6.510691784322262
6846,Sofiane Diop,33,2191,8,8.183862524107099,2,3.579524790868163,54,36,5,0,F M S,Nice,6,6.663672225549817,13.850084845907986,5.422367064282298
7453,Khvicha Kvaratskhelia,28,1477,8,7.978250507265329,4,5.74300504103303,65,34,1,0,F S,Paris Saint Germain,7,7.218155387789011,17.08897763863206,8.842163369059563
10347,Pablo Pagis,28,1799,10,7.786515640094876,5,4.751152578741312,59,43,1,0,F M S,Lorient,8,6.266325371339917,10.172008087858558,2.895855251699686
11058,Julio Enciso,27,1918,3,7.675233259797096,6,4.41795701906085,61,26,2,0,F M S,Strasbourg,2,6.915138140320778,15.821536289528012,5.9863391406834126
14082,Emersonn,27,1517,7,7.415036683902144,2,1.8788170740008354,51,19,5,1,F S,Toulouse,7,7.415036683902144,7.866539558395743,1.186018974520266
13888,Danny Namaso,30,2544,3,7.317179087549448,3,3.9502968033775687,61,32,9,0,F M S,Auxerre,3,7.317179087549448,11.781863667070866,4.277199324220419
5727,Gauthier Hein,29,2355,8,7.256195746362209,7,4.457953127101064,44,58,1,1,F M S,Metz,3,3.4557200483977795,9.394331835210323,4.18543278798461
6401,Amine Gouiri,22,1318,8,7.237069595605135,3,3.988559890538454,38,33,1,0,F M S,Marseille,8,7.237069595605135,11.248107068240643,2.8222608156502247
10074,Sambou Soumano,31,891,4,6.807313602417707,2,1.8067509941756725,28,10,2,0,F S,Lorient,4,6.047218482941389,5.822775289416313,0.3803564552217722
12049,Aiyegun Tosin,27,1068,5,6.6367923226207495,0,1.0361506454646587,30,11,1,0,F M S,Lorient,5,5.876697203144431,6.243498589843512,0.4303169213235378
10058,Maghnes Akliouche,31,2430,6,6.614660864695907,6,5.355240166187286,48,44,3,0,F M S,Monaco,6,6.614660864695907,18.967163242399693,8.312718050554395
3226,Ousmane Dembélé,22,1050,10,6.604901619255543,7,5.207486420869827,45,41,0,0,F S,Paris Saint Germain,8,4.324616186320782,10.21094974130392,4.470038652420044
12884,Endrick,16,1248,5,6.475340409204364,7,4.547948397696018,49,30,4,1,F M S,Lyon,4,5.7152452897280455,11.143983148038387,2.17605359852314
3549,Adrien Thomasson,32,2714,3,6.460448982194066,9,8.477983359247446,43,80,11,0,M S,Lens,3,6.460448982194066,23.375807873904705,13.438357058912516
